Topic,Count,Name,Representation,Representative_Docs
-1,131852,-1_cop_woman_police_held,"['cop', 'woman', 'police', 'held', 'child', 'day', 'life', 'govt', 'city', 'death']",
0,22683,0_bjp_poll_congress_election,"['bjp', 'poll', 'congress', 'election', 'cong', 'modi', 'voter', 'assembly', 'party', 'candidate']",
1,15312,1_cup_world cup_win_ipl,"['cup', 'world cup', 'win', 'ipl', 'cricket', 'football', 'world', 'league', 'final', 'player']",
2,12132,2_exam_school_university_college,"['exam', 'school', 'university', 'college', 'teacher', 'student', 'admission', 'education', 'class', 'course']",
3,8242,3_film_khan_kapoor_shah rukh,"['film', 'khan', 'kapoor', 'shah rukh', 'rukh', 'salman', 'rukh khan', 'bollywood', 'salman khan', 'aamir']",
4,6907,4_pak_pakistan_terror_china,"['pak', 'pakistan', 'terror', 'china', 'bomb', 'terrorist', 'militant', 'blast', 'iran', 'russia']",
5,6210,5_covid_covid case_flu_positive,"['covid', 'covid case', 'flu', 'positive', 'vaccine', 'swine', 'swine flu', 'coronavirus', 'test positive', 'case']",
6,5671,6_bail_plea_court_cbi,"['bail', 'plea', 'court', 'cbi', 'judge', 'hearing', 'high court', 'case', 'order', 'lawyer']",
7,5567,7_suicide_murder_commits_kill,"['suicide', 'murder', 'commits', 'kill', 'end life', 'self', 'wife', 'murdered', 'hang', 'man']",
8,5024,8_cancer_hospital_surgery_health,"['cancer', 'hospital', 'surgery', 'health', 'patient', 'doctor', 'heart', 'blood', 'organ', 'kidney']",
9,4839,9_land_housing_project_building,"['land', 'housing', 'project', 'building', 'illegal', 'flat', 'realty', 'builder', 'demolition', 'encroachment']",
10,4601,10_bank_loan_rbi_sebi,"['bank', 'loan', 'rbi', 'sebi', 'stake', 'profit', 'investor', 'sbi', 'tc', 'net']",
11,4362,11_tiger_dog_leopard_zoo,"['tiger', 'dog', 'leopard', 'zoo', 'stray', 'bird', 'animal', 'elephant', 'cattle', 'cow']",
12,3421,12_rain_flood_monsoon_temperature,"['rain', 'flood', 'monsoon', 'temperature', 'rainfall', 'heavy', 'heavy rain', 'shower', 'met', 'cyclone']",
13,3419,13_rape_raped_minor_girl,"['rape', 'raped', 'minor', 'girl', 'year old', 'sexual', 'sexually', 'old', 'minor girl', 'old girl']",
14,3315,14_stolen_thief_robbery_theft,"['stolen', 'thief', 'robbery', 'theft', 'jewellery', 'robbed', 'burglar', 'loot', 'gang', 'worth']",
15,3115,15_parking_road_traffic_repair,"['parking', 'road', 'traffic', 'repair', 'highway', 'parking lot', 'lane', 'widening', 'jam', 'underpass']",
16,2724,16_accident_killed_truck_mishap,"['accident', 'killed', 'truck', 'mishap', 'injured', 'road accident', 'dy', 'die', 'killed injured', 'bus']",
17,2519,17_scam_fraud_duped_dupe,"['scam', 'fraud', 'duped', 'dupe', 'duping', 'lakh', 'loses lakh', 'crore', 'cheating', 'fraud case']",
18,2386,18_water_water supply_dam_supply,"['water', 'water supply', 'dam', 'supply', 'water crisis', 'drinking water', 'drinking', 'sewage', 'river', 'groundwater']",
19,2300,19_farmer_sugar_crop_farm,"['farmer', 'sugar', 'crop', 'farm', 'paddy', 'farming', 'cotton', 'rice', 'veggie', 'vegetable']",
20,2206,20_metro_train_rail_railway,"['metro', 'train', 'rail', 'railway', 'metro rail', 'train service', 'delhi metro', 'line', 'special', 'central railway']",
21,2075,21_apple_bsnl_iphone_microsoft,"['apple', 'bsnl', 'iphone', 'microsoft', 'google', 'vodafone', 'spectrum', 'mobile', 'smartphone', 'phone']",
22,2034,22_music_song_musical_dance,"['music', 'song', 'musical', 'dance', 'audio', 'singer', 'performs', 'concert', 'sings', 'band']",
23,1874,23_power_solar_power cut_tariff,"['power', 'solar', 'power cut', 'tariff', 'power tariff', 'energy', 'power supply', 'electricity', 'power theft', 'outage']",
24,1790,24_jennifer_kim_gaga_celebs,"['jennifer', 'kim', 'gaga', 'celebs', 'pitt', 'celebrity', 'dating', 'cyrus', 'swift', 'brad']",
25,1690,25_police_cop_police station_crime,"['police', 'cop', 'police station', 'crime', 'policing', 'city police', 'station', 'law order', 'policeman', 'criminal']",
26,1508,26_art_celebration_painting_artist,"['art', 'celebration', 'painting', 'artist', 'exhibition', 'celebrate', 'new year', 'festival', 'celebrated', 'navratri']",
27,1485,27_flight_airport_airline_air india,"['flight', 'airport', 'airline', 'air india', 'air', 'flyer', 'jet', 'plane', 'fare', 'landing']",
28,1262,28_blaze_gutted_break_safety,"['blaze', 'gutted', 'break', 'safety', 'firecracker', 'factory', 'flame', 'godown', 'fireman', 'catch']",
29,1219,29_temple_tourism_statue_tourist,"['temple', 'tourism', 'statue', 'tourist', 'shrine', 'monument', 'ayodhya', 'ram', 'idol', 'heritage']",
30,1140,30_waste_garbage_dumping_trash,"['waste', 'garbage', 'dumping', 'trash', 'disposal', 'dump', 'collection', 'bin', 'solid', 'management']",
31,946,31_tree_forest_plantation_felling,"['tree', 'forest', 'plantation', 'felling', 'biodiversity', 'forest dept', 'forest department', 'forest land', 'cutting', 'plant']",
32,890,32_tax_gst_vat_property tax,"['tax', 'gst', 'vat', 'property tax', 'tax collection', 'income tax', 'income', 'collection', 'property', 'defaulter']",
33,884,33_drug_seized_worth_cocaine,"['drug', 'seized', 'worth', 'cocaine', 'nigerian', 'worth seized', 'worth crore', 'held', 'worth lakh', 'gutka']",
34,883,34_maruti_car_hyundai_car sale,"['maruti', 'car', 'hyundai', 'car sale', 'honda', 'ford', 'bajaj', 'sale', 'mahindra', 'bmw']",
35,740,35_award_prize_nobel_padma,"['award', 'prize', 'nobel', 'padma', 'national award', 'bag', 'akademi', 'honorary', 'awarded', 'honour']",
