Topic,Count,Name,Representation,Representative_Docs
-1,131852,-1_cop_woman_held_police,"['cop', 'woman', 'held', 'police', 'day', 'govt', 'city', 'death', 'life', 'year']","['year old owner three fuel station kill', 'arrested ia officer son dy gunshot wound raid chandigarh house', 'west bengal seek smart green city tag new town']"
0,47959,0_bjp_poll_congress_election,"['bjp', 'poll', 'congress', 'election', 'exam', 'school', 'student', 'cong', 'modi', 'university']","['kerala assembly election edamalakkudy three day poll process', 'bjp convenes meet mlas ahead president poll monsoon session', 'election commission target voter turnout goa lok sabha poll']"
1,29055,1_cup_film_win_world cup,"['cup', 'film', 'win', 'world cup', 'khan', 'world', 'ipl', 'cricket', 'football', 'kapoor']","['india enter world cup final', 'football fever south africa begin world cup party', 'world cup dhoni sport glove indian army insignia south africa match']"
2,11944,2_covid_covid case_hospital_patient,"['covid', 'covid case', 'hospital', 'patient', 'flu', 'case', 'cancer', 'positive', 'health', 'swine']","['fresh covid case tamil nadu dip', 'tamil nadu record new covid case chennai', 'vadodara covid case touch test positive']"
3,9909,3_farmer_land_waste_tree,"['farmer', 'land', 'waste', 'tree', 'garbage', 'mining', 'illegal', 'project', 'forest', 'housing']","['surat municipal corporation plant tree native specie plantation drive', 'slum dweller chop tree planted civic body', 'developer fails clear crore due greater noida industrial development authority cancel allotment plot']"
4,8986,4_rape_suicide_murder_man,"['rape', 'suicide', 'murder', 'man', 'minor', 'year old', 'old', 'girl', 'kill', 'woman']","['year old man commits suicide jharsa', 'man arrested rape six year old', 'year old man held minor girl rape']"
5,8408,5_scam_fraud_lakh_stolen,"['scam', 'fraud', 'lakh', 'stolen', 'worth', 'police', 'thief', 'cop', 'theft', 'held']","['cash jewellery worth lakh missing', 'vechicles worth lakh stolen city', 'cash valuable worth lakh stolen three house']"
6,7559,6_bank_apple_loan_rbi,"['bank', 'apple', 'loan', 'rbi', 'stake', 'bsnl', 'sebi', 'profit', 'sale', 'investor']","['indian bank net', 'kellton tech net profit eye crore fundraise', 'hdfc bank exceeds rbi loan cap ril']"
7,7426,7_metro_road_parking_train,"['metro', 'road', 'parking', 'train', 'traffic', 'flight', 'railway', 'rail', 'bus', 'airport']","['railway run two train ease rush', 'parking plan ease jam road', 'sky bus metro airport route soon']"
8,5807,8_water_rain_flood_monsoon,"['water', 'rain', 'flood', 'monsoon', 'temperature', 'water supply', 'heavy', 'heavy rain', 'dam', 'shower']","['heavy rain lash mumbai', 'get heavy rain next day imd', 'monsoon next day brace heavy rain met']"
9,4362,9_tiger_dog_zoo_stray,"['tiger', 'dog', 'zoo', 'stray', 'bird', 'animal', 'elephant', 'cattle', 'cow', 'wildlife']","['stray dog kill deer two day', 'day pilibhit tiger reserve stray tiger move near railway station', 'rajkot zoo get bird animal pair lion']"
10,2724,10_accident_killed_truck_mishap,"['accident', 'killed', 'truck', 'mishap', 'injured', 'dy', 'road accident', 'bus', 'die', 'car']","['nine killed two injured road accident', 'two killed injured road accident songarh', 'three killed one injured road accident']"
11,2560,11_power_solar_petrol_lpg,"['power', 'solar', 'petrol', 'lpg', 'tariff', 'fuel', 'energy', 'power supply', 'cut', 'diesel']","['plan ward power tariff hike', 'unscheduled power cut back', 'tuesday fuel lpg price hike paisa rise petrol diesel rate mumbai']"
12,1790,12_jennifer_kim_celebs_pitt,"['jennifer', 'kim', 'celebs', 'pitt', 'celebrity', 'dating', 'cyrus', 'swift', 'pic', 'paris']","['chris martin jennifer lawrence dating', 'amid divorce angelina jolie brad pitt step looking thinner fitter', 'angelina jolie brad pitt divorce george clooney stunned friend split']"
13,1262,13_blaze_gutted_break_safety,"['blaze', 'gutted', 'break', 'safety', 'factory', 'firecracker', 'flame', 'godown', 'fireman', 'catch']","['major fire break godrej factory mumbai', 'property worth lakh gutted plastic factory fire', 'good worth lakh gutted factory fire']"
14,890,14_tax_gst_vat_property tax,"['tax', 'gst', 'vat', 'property tax', 'tax collection', 'income', 'collection', 'property', 'income tax', 'defaulter']","['pickle maker seek exemption gst tax reduction', 'gst payable tax levied civic body two distinct transaction rule court', 'tax collection rate dip first time gst']"
15,691,15_liquor_booze_excise_alcohol,"['liquor', 'booze', 'excise', 'alcohol', 'prohibition', 'illicit', 'shop', 'seized', 'beer', 'drinking']","['gujarat lakh worth liquor seized', 'illicit liquor worth seized', 'hic liquor cannot taxed']"
16,627,16_relationship_love_sex_dating,"['relationship', 'love', 'sex', 'dating', 'thing', 'marriage', 'friendship', 'dream', 'men', 'discus']","['marriage important happy relationship', 'love sex dhoka', 'sex life love asana']"
17,563,17_recipe_restaurant_food_chef,"['recipe', 'restaurant', 'food', 'chef', 'flavour', 'wine', 'cake', 'dish', 'biryani', 'ice cream']","['recipe best bengali dish', 'recipe vegetarian dinner dish', 'homemade ice cream recipe']"
18,542,18_point_trade_cue_early,"['point', 'trade', 'cue', 'early', 'gain', 'close', 'global', 'opening', 'weak', 'booking']","['sensex rebound point early trade global cue', 'market move sensex gain point early trade nifty', 'sensex point early trade positive global cue']"
